Source,Subtopic1,Subtopic2,WordType,Swedish,SwedishExample,en_Word,en_Example,es_Word,es_Example,fa_Word,fa_Example,el_Word,el_Example,uk_Word,uk_Example,ru_Word,ru_Example,hi_Word,hi_Example,bn_Word,bn_Example,sq_Word,sq_Example,tr_Word,tr_Example,ms_Word,ms_Example,fil_Word,fil_Example,Present,PresentTranslation,PresentExample,PresentExampleTranslation,Preteritum,PreteritumTranslation,PreteritumExample,PreteritumExampleTranslation,Supinium,SupiniumTranslation,SupiniumExample,SupiniumExampleTranslation,ID,SwedishNote,PresentNote,PreteritumNote,SupiniumNote
Kelly List,Set 01,0201 to 0250,Noun,Ett företag,Han startade ett eget företag förra året.,"company, business, enterprise",He started his own company last year.,"empresa, negocio, compañía",Él fundó su propia empresa el año pasado.,"شرکت, کسب و کار, بنگاه",او سال گذشته شرکت خودش را راه‌اندازی کرد.,"εταιρεία, επιχείρηση, οργανισμός",Ίδρυσε τη δική του επιχείρηση πέρυσι.,"компанія, підприємство, фірма",Він відкрив власну компанію минулого року.,"компания, предприятие, фирма",Он открыл собственную компанию в прошлом году.,"कंपनी, व्यवसाय, उद्यम",उसने पिछले साल अपनी खुद की कंपनी शुरू की।,"কোম্পানি, ব্যবসা, প্রতিষ্ঠান",তিনি গত বছর নিজের একটি কোম্পানি শুরু করেছিলেন।,"kompani, biznes, ndërmarrje",Ai hapi kompaninë e tij vitin e kaluar.,"şirket, işletme, firma",Geçen yıl kendi şirketini kurdu.,"syarikat, perniagaan, firma",Dia memulakan syarikatnya sendiri tahun lepas.,"kumpanya, negosyo, korporasyon",Nagtayo siya ng sariling kumpanya noong nakaraang taon.,,,,,,,,,,,,,46990,"GROUP: N/A # FORM: Ett företag # FREQ: 10 # NUANCE: Refers to a commercial organization or legal entity engaged in business activities. It is a broad term that can cover everything from a small startup to a large corporation. # PART: N/A # COLL: Starta ett företag, driva ett företag, ett framgångsrikt företag, småföretag # REG: General and Professional # REFL: N/A # ERR: Students often confuse the gender and use 'en företag' instead of the correct neuter 'ett företag'. They also sometimes struggle with the plural form 'företag' which is the same as the singular indefinite.",,,
Kelly List,Set 01,0201 to 0250,Noun,En Möjlighet,Detta är en fantastisk möjlighet för dig.,"opportunity, chance, possibility",This is a great opportunity for you.,"oportunidad, posibilidad, ocasión",Esta es una gran oportunidad para ti.,"فرصت, شانس, امکان",این یک فرصت عالی برای تو است.,"ευκαιρία, δυνατότητα, πιθανότητα",Αυτή είναι μια σπουδαία ευκαιρία για εσένα.,"можливість, нагода, шанс",Це чудова можливість для тебе.,"возможность, шанс, случай",Это отличная возможность для тебя.,"अवसर, मौका, संभावना",यह आपके लिए एक शानदार अवसर है।,"সুযোগ, সম্ভাবনা, অবসর",এটি তোমার জন্য একটি দুর্দান্ত সুযোগ।,"mundësi, rast, gjasë",Kjo është një mundësi e shkëlqyer për ju.,"fırsat, olanak, imkan",Bu senin için harika bir fırsat.,"peluang, kesempatan, kemungkinan",Ini adalah peluang yang baik untuk anda.,"pagkakataon, oportunidad, posibilidad",Isa itong magandang pagkakataon para sa iyo.,,,,,,,,,,,,,46879,"GROUP: N/A # FORM: 5 # FREQ: 9 # NUANCE: Refers to an opportunity or a potential chance to achieve something positive. It can also denote a theoretical possibility or feasibility. # PART: N/A # COLL: Ta en möjlighet, fantastisk möjlighet, möjlighet till utveckling, laglig möjlighet # REG: General to formal depending on whether it is used in daily life or professional contexts # REFL: N/A # ERR: Students often confuse the preposition and use 'möjlighet av' instead of the correct 'möjlighet till' or 'möjlighet att'. They may also forget the neuter-gendered noun is an 'en-word'.",,,
Kelly List,Set 01,0201 to 0250,Noun,Ett Ord,Jag kan inte hitta ett ord för att beskriva detta.,"word, term, expression",I cannot find a word to describe this.,"palabra, término, vocablo",No encuentro una palabra para describir esto.,"واژه, کلمه, لغت",نمی‌توانم واژه‌ای برای توصیف این پیدا کنم.,"λέξη, όρος, έκφραση",Δεν μπορώ να βρω μια λέξη για να το περιγράψω αυτό.,"слово, термін, вислів","Я не можу підібрати слово, щоб це описати.","слово, термин, выражение","Я не могу подобрать слова, чтобы это описать.","शब्द, पद, अभिव्यक्ति",मेरे पास इसे बताने के लिए शब्द नहीं हैं।,"শব্দ, পদ, বচন",এটি বর্ণনা করার জন্য আমি কোনো শব্দ খুঁজে পাচ্ছি না।,"fjalë, term, shprehje",Nuk gjej dot një fjalë për ta përshkruar këtë.,"kelime, sözcük, terim",Bunu tarif edecek bir kelime bulamıyorum.,"perkataan, kata, istilah",Saya tidak dapat mencari perkataan untuk menggambarkannya.,"salita, termino, pahayag",Hindi ako makahanap ng salita para ilarawan ito.,,,,,,,,,,,,,46775,"GROUP: N/A # FORM: 5 # FREQ: 10 # NUANCE: Refers to a single unit of language or a promise/statement as in 'ge sitt ord' # PART: N/A # COLL: Ett välvalt ord, ord för ord, med andra ord, hålla sitt ord # REG: General purpose suitable for both formal and informal settings # REFL: N/A # ERR: Learners often confuse the gender and use 'en ord' instead of the correct neuter 'ett ord' or struggle with the irregular plural 'ord' omitting the 'en' ending in definite plural 'orden'",,,
Kelly List,Set 01,0201 to 0250,Adjective,Politisk,Han fattade ett politiskt beslut.,"political, diplomatic, civic",He made a political decision.,"político, estatal, gubernamental",Él tomó una decisión política.,"سیاسی, دیپلماتیک, مدنی",او یک تصمیم سیاسی گرفت.,"πολιτικός, διπλωματικός, κοινωνικός",Πήρε μια πολιτική απόφαση.,"політичний, державний, громадський",Він прийняв політичне рішення.,"политический, государственный, гражданский",Он принял политическое решение.,"राजनीतिक, कूटनीतिक, नागरिक",उन्होंने एक राजनीतिक निर्णय लिया।,"রাজনৈতিক, কূটনৈতিক, নাগরিক",তিনি একটি রাজনৈতিক সিদ্ধান্ত নিয়েছেন।,"politik, diplomatik, qytetar",Ai mori një vendim politik.,"siyasi, politik, diplomatik",Siyasi bir karar verdi.,"politik, siasah, kenegaraan",Dia membuat keputusan politik.,"politikal, pang-estado, sibil",Gumawa siya ng desisyong politikal.,,,,,,,,,,,,,46653,"GROUP: N/A # FORM: 6 # FREQ: 9 # NUANCE: Relates to the activities and affairs of government or the state. It can also describe things related to the distribution of power and resources in society. # PART: N/A # COLL: Politiskt beslut, politiskt parti, politisk debatt, politisk vilde # REG: Professional and academic but also common in news and daily conversation # REFL: N/A # ERR: Students often forget to inflect the adjective to 'politiskt' when describing neuter (ett) nouns or 'politiska' for plural/definite forms. They may also confuse the noun 'politik' with the adjective 'politisk'.",,,
Kelly List,Set 01,0201 to 0250,Verb,Att Välja,Det är svårt att välja en favoritfärg.,"choose, select, pick",It is difficult to choose a favorite color.,"elegir, seleccionar, escoger",Es difícil elegir un color favorito.,"انتخاب کردن, برگزیدن, گزیدن",انتخاب یک رنگ مورد علاقه دشوار است.,"επιλέγω, διαλέγω, προτιμώ",Είναι δύσκολο να επιλέξεις ένα αγαπημένο χρώμα.,"вибирати, обирати, добирати",Важко вибрати улюблений колір.,"выбирать, избирать, отбирать",Трудно выбрать любимый цвет.,"चुनना, चयन करना, छाँटना",पसंदीदा रंग चुनना मुश्किल है।,"پছন্দ করা, নির্বাচন করা, বেছে নেওয়া",একটি প্রিয় রঙ পছন্দ করা কঠিন।,"zgjedh, përzgjedh, preferoj",Është e vështirë të zgjedhësh një ngjyrë të preferuar.,"seçmek, tercih etmek, ayırmak",Favori bir renk seçmek zordur.,"memilih, menyeleksi, memetik",Sukar untuk memilih warna kegemaran.,"pumili, mamili, humirang",Mahirap pumili ng paboritong kulay.,väljer,"choose, chooses",Han väljer alltid det största äpplet.,He always chooses the biggest apple.,valde,chose,Hon valde en blå klänning till festen.,She chose a blue dress for the party.,valt,chosen,Vi har valt att flytta till staden.,We have chosen to move to the city.,46025,"GROUP: 4 # FORM: Infinitiv # FREQ: 10 # NUANCE: Denotes the act of making a choice or selection among several options. It implies a conscious decision process. # PART: Välja bort (to opt out) or Välja ut (to select/pick out) # COLL: Välja en väg, välja sida, svårt att välja # REG: Allmän # REFL: Nej # ERR: Learners sometimes confuse the strong conjugation with group 2a verbs because of the 'd' in the preteritum. "," GROUP: 4 # FORM: Presens # FREQ: 10 # NUANCE: Indicates a current or habitual action of choosing. # PART: Väljer mellan # COLL: Väljer att göra något, väljer noga # REG: Allmän # REFL: Nej # ERR: Misspelling the present tense as 'välja' instead of 'väljer'. "," GROUP: 4 # FORM: Preteritum # FREQ: 9 # NUANCE: Describes a choice made in the past. # PART: Valde bort # COLL: Valde rätt, valde fel # REG: Allmän # REFL: Nej # ERR: Using the incorrect form 'väljde' by trying to follow the pattern of weak verbs. "," GROUP: 4 # FORM: Supinum # FREQ: 9 # NUANCE: Used with 'har' or 'hade' to express a completed action of choosing. # PART: Har valt ut # COLL: Har valt att, noga valt # REG: Allmän # REFL: Nej # ERR: Confusing 'valt' (chosen) with 'vält' (knocked over/overturned)."
Kelly List,Set 01,0201 to 0250,Pronoun,Er,Jag gav boken till er igår.,"you, yours, you all",I gave the book to you yesterday.,"ustedes, vosotros, su",Les di el libro a ustedes ayer.,"شما, برای شما, مال شما",من دیروز کتاب را به شما دادم.,"εσάς, εσείς, δικό σας",Σας έδωσα το βιβλίο χθες.,"вам, вас, ваш",Я дав вам книгу вчора.,"вам, вас, ваш",Я дал вам книгу вчера.,"तुम, तुम्हारा, आप",मैंने कल तुम्हें किताब दी थी।,"তোমাদের, আপনাদের, তোমার",আমি গতকাল তোমাদের বইটি দিয়েছি।,"ju, juve, juaji",Unë jua dhashë librin juve dje.,"size, sizin, sizlere",Dün kitabı size verdim.,"anda, kamu, kalian",Saya memberikan buku itu kepada anda semalam.,"inyo, ninyo, kayo",Ibinigay ko ang libro sa inyo kahapon.,,,,,,,,,,,,,46012,"GROUP: N/A # FORM: Object and possessive (2nd person plural) # FREQ: 10 # NUANCE: Functions as the object form for the pronoun ni and as a possessive determiner meaning your or yours. It refers to a group of people or is used in formal singular address. # PART: N/A # COLL: Till er, hos er, er tur, hälsa till er # REG: General and neutral # REFL: The reflexive possessive for the subject ni is er, ert, or era # ERR: Learners often confuse er with the subject form ni or fail to correctly decline the possessive form to ert or era to match the gender and number of the following noun.",,,
Kelly List,Set 01,0201 to 0250,Verb,Att Förstå,Jag försöker att förstå vad du menar.,"understand, comprehend, grasp",I am trying to understand what you mean.,"entender, comprender, captar",Estoy intentando entender lo que quieres decir.,"فهمیدن, درک کردن, متوجه شدن",من سعی می‌کنم بفهمم منظور شما چیست.,"καταλαβαίνω, κατανοώ, αντιλαμβάνομαι",Προσπαθώ να καταλάβω τι εννοείς.,"розуміти, збагнути, усвідомлювати","Я намагаюся зрозуміти, що ви маєте на увазі.","понимать, постигать, осознавать","Я пытаюсь понять, что вы имеете в виду.","समझना, बूझना, जानना",मैं समझने की कोशिश कर रहा हूँ कि आपका क्या मतलब है।,"বোঝা, অনুধাবন করা, উপলব্ধি করা",আপনি কী বোঝাতে চাইছেন তা আমি বোঝার চেষ্টা করছি।,"kuptoj, marr vesh, kap",Po mundohem të kuptoj se çfarë po thua.,"anlamak, kavramak, idrak etmek",Ne demek istediğini anlamaya çalışıyorum.,"faham, mengerti, memaklumi",Saya cuba memahami apa yang anda maksudkan.,"intindihin, unawain, mabatid",Sinusubukan kong intindihin ang ibig mong sabihin.,förstår,understand,Han förstår frågan.,He understands the question.,förstod,understood,De förstod aldrig varandra.,They never understood each other.,förstått,understood,Jag har äntligen förstått.,I have finally understood.,45957,"GROUP: 4 # FORM: Infinitiv # FREQ: 10 # NUANCE: Denotes the cognitive process of comprehending information or meaning. It is a fundamental strong verb. # PART: Förstå sig på # COLL: Förstå innebörden, svårt att förstå, förstå varandra # REG: Allmän # REFL: Kan vara reflexivt (förstå sig på) # ERR: Felaktig böjning då det är ett oregelbundet verb "," GROUP: 4 # FORM: Presens # FREQ: 10 # NUANCE: Beskriver en pågående förståelse eller ett faktum i nuet. # PART: N/A # COLL: Förstår du, jag förstår precis # REG: Allmän # REFL: Nej # ERR: Elever skriver ibland ""förstär"" eller glömmer -r i slutet "," GROUP: 4 # FORM: Preteritum # FREQ: 10 # NUANCE: Syftar på en fullbordad förståelse i det förflutna. # PART: N/A # COLL: Förstod ingenting, äntligen förstod jag # REG: Allmän # REFL: Nej # ERR: Blandas ofta ihop med supinumformen eller böjs felaktigt som grupp 1 ""förstådde"" "," GROUP: 4 # FORM: Supinium # FREQ: 10 # NUANCE: Används med hjälpverb för att bilda perfekt eller pluskvamperfekt. # PART: N/A # COLL: Har förstått, hade förstått # REG: Allmän # REFL: Nej # ERR: Förväxling med preteritumformen förstod är mycket vanlig hos inlärare"
Kelly List,Set 01,0201 to 0250,Noun,Ett Ägg,Jag kokar ett ägg till frukost.,"egg, ovum, seed",I am boiling an egg for breakfast.,"huevo, blanquillo, postura",Estoy hirviendo un huevo para el desayuno.,"تخم مرغ, خایه, بیضه",من برای صبحانه یک تخم مرغ می پزم.,"αυγό, ωό, γέννημα",Βράζω ένα αυγό για πρωινό.,"яйце, яєчко, зародок",Я варю яйце на сніданок.,"яйцо, яичко, зародыш",Я варю яйцо на завтрак.,"अंडा, अंड, बीज",मैं नाश्ते के लिए एक अंडा उबाल रहा हूँ।,"ডিম, অণ্ড, কুসুম",আমি প্রাতরাশের জন্য একটি ডিম সিদ্ধ করছি।,"veza, vezë, lëvozhgë",Po ziej një vezë për mëngjes.,"yumurta, döllenmiş hücre, tohum",Kahvaltı için bir yumurta haşlıyorum.,"telur, nusu, benih",Saya merebus sebiji telur untuk sarapan.,"itlog, bayag, binhi",Naglaga ako ng itlog para sa almusal.,,,,,,,,,,,,,45947,"GROUP: N/A # FORM: 5 # FREQ: 10 # NUANCE: Refers to the biological reproductive body of a bird or the common culinary ingredient. It is a neuter noun with a zero-ending in the indefinite plural form. # PART: N/A # COLL: Koka ett ägg, steka ett ägg, löskokt ägg, hårdkokt ägg, gå på äggskal # REG: General and everyday language # REFL: N/A # ERR: Learners often misgender the word as 'en ägg' or apply an incorrect plural suffix like 'äggar' instead of the correct zero-ending plural 'ägg'.",,,
Kelly List,Set 01,0201 to 0250,Noun,Ett Inlägg,Han skrev ett intressant inlägg på sin blogg.,"post, entry, contribution",He wrote an interesting post on his blog.,"publicación, entrada, post",Escribió una publicación interesante en su blog.,"پست, نوشته, مطلب",او یک مطلب جالب در وبلاگش نوشت.,"ανάρτηση, δημοσίευση, καταχώριση",Έγραψε μια ενδιαφέρουσα ανάρτηση στο ιστολόγιό του.,"допис, пост, повідомлення",Він написав цікавий допис у своєму блозі.,"пост, запись, сообщение",Он написал интересный пост в своем блоге.,"पोस्ट, प्रविष्टि, योगदान",उन्होंने अपने ब्लॉग पर एक दिलचस्प पोस्ट लिखी।,"পোস্ট, অন্তর্ভুক্তি, অবদান",তিনি তার ব্লগে একটি আকর্ষণীয় পোস্ট লিখেছেন।,"postim, hyrje, shkrim",Ai shkroi një postim interesant në blogun e tij.,"gönderi, ileti, kayıt",Blogunda ilginç bir gönderi yazdı.,"hantaran, catatan, entri",Dia menulis hantaran yang menarik di blognya.,"post, entri, lathala",Nagsulat siya ng isang interesanteng post sa kanyang blog.,,,,,,,,,,,,,45947,"GROUP: N/A # FORM: Singular Indefinite Noun # FREQ: 8 # NUANCE: Refers to a contribution or entry in a digital context like a blog or social media but also used for physical contributions or formal verbal statements in a debate. # PART: N/A # COLL: Skriva ett inlägg, intressant inlägg, debattinlägg, blogginlägg # REG: General and digital # REFL: N/A # ERR: Learners often confuse this with the English word 'entry' in non-digital contexts or use the wrong gender since it is an 'ett' word. Some may also confuse it with the verb 'lägga in'.",,,
Kelly List,Set 01,0201 to 0250,Verb,Te,Hon bjöd sina gäster på te och kakor.,"tea, brew, infusion",She offered her guests some tea and cookies.,"té, infusión, bebida",Ella ofreció a sus invitados té y galletas.,"چای, دمنوش, جوشانده",او به مهمانانش چای و کلوچه تعارف کرد.,"τσάι, αφέψημα, ρόφημα",Πρόσφερε στους καλεσμένους της τσάι και μπισκότα.,"чай, настій, напій",Вона пригостила гостей чаєм і печивом.,"чай, настой, напиток",Она угостила гостей чаем и печеньем.,"चाय, पेय, अर्क",उसने अपने मेहमानों को चाय और बिस्कुट दिए।,"চা, পানীয়, লিকার",তিনি তার অতিথিদের চা ও বিস্কুট দিয়ে আপ্যায়ন করেছিলেন।,"çaj, infuzion, pije",Ajo u ofroi të ftuarve të saj çaj dhe biskota.,"çay, demlenmiş çay, bitki çayı",Misafirlerine çay ve kurabiye ikram etti.,"teh, air teh, minuman",Dia menghidangkan teh dan biskut kepada tetamunya.,"tsaa, inumin, tea",Nag-alok siya ng tsaa at mga biskwit sa kanyang mga bisita.,ter,tea,Han ter sig lite trött idag.,He seems a bit tired today.,tedde,seemed,Det hela tedde sig mycket märkligt.,The whole thing seemed very strange.,tett,seemed,Det har tett sig naturligt för oss.,It has seemed natural to us.,45826,"GROUP: N/A # FORM: Noun # FREQ: 9 # NUANCE: Refers to the beverage made from tea leaves or herbal infusions. In a Swedish context, it is often associated with social gatherings or a evening drink. # PART: N/A # COLL: Dricka te, en kopp te, svart te, grönt te # REG: General # REFL: N/A # ERR: Students may confuse the spelling with the English 'tea' or fail to recognize it as an ett-word (ett te) when using definite forms.",,,
Kelly List,Set 01,0201 to 0250,Verb,Att spela,Barnen tycker om att spela fotboll på rasterna.,"play, perform, act",The kids enjoy playing soccer during their breaks.,"jugar, tocar, interpretar",A los niños les gusta jugar al fútbol en los recreos.,"بازی کردن, نواختن, اجرا کردن",بچه‌ها دوست دارند در زنگ‌های تفریح فوتبال بازی کنند.,"παίζω, εκτελώ, ερμηνεύω",Στα παιδιά αρέσει να παίζουν ποδόσφαιρο στα διαλείμματα.,"грати, виступати, виконувати",Діти люблять грати у футбол на перервах.,"играть, выступать, исполнять",Детям нравится играть в футбол на переменах.,"खेलना, बजाना, अभिनय करना",बच्चों को ब्रेक के दौरान फुटबॉल खेलना पसंद है।,"খেলা, বাজানো, অভিনয় করা",বাচ্চারা বিরতির সময় ফুটবল খেলতে পছন্দ করে।,"luaj, interpretoj, performoj",Fëmijët pëlqejnë të luajnë futboll gjatë pushimeve.,"oynamak, çalmak, icra etmek",Çocuklar teneffüslerde futbol oynamayı seviyorlar.,"bermain, berlakon, membunyikan",Kanak-kanak suka bermain bola sepak semasa waktu rehat.,"maglaro, tumugtog, gumanap",Gusto ng mga bata na maglaro ng futbol tuwing break.,Spelar,Plays / Is playing,Han spelar piano varje kväll.,He plays the piano every evening.,Spelade,Played,Igår spelade vi kort i flera timmar.,Yesterday we played cards for several hours.,Spelat,Played,Hon har spelat teater i många år.,She has acted in the theater for many years.,45814,"GROUP: 1 # FORM: Infinitiv # FREQ: 10 # NUANCE: Refers to playing games, sports, musical instruments, or acting in a theater or film # PART: Spela in (record), spela ut (play against each other), spela roll (matter) # COLL: Spela fotboll, spela kort, spela teater, spela gitarr # REG: General and used in all contexts # REFL: Non-reflexive # ERR: Learners often confuse it with leka (playing with toys or for fun for children) "," GROUP: 1 # FORM: Presens # FREQ: 10 # NUANCE: Describes a current or habitual action of playing or performing # PART: Spelar roll # COLL: Spelar match, spelar huvudrollen # REG: General # REFL: Non-reflexive # ERR: Using leker instead of spelar when referring to sports or instruments "," GROUP: 1 # FORM: Preteritum # FREQ: 9 # NUANCE: Refers to a completed action of playing in the past # PART: Spelade in # COLL: Spelade piano, spelade in en video # REG: General # REFL: Non-reflexive # ERR: Incorrectly using strong verb conjugation instead of the group 1 -ade ending "," GROUP: 1 # FORM: Supinum # FREQ: 9 # NUANCE: Used with 'har' or 'hade' to describe a finished action or state of having played # PART: Spelat bort (lose by gambling) # COLL: Har spelat teater, har spelat match # REG: General # REFL: Non-reflexive # ERR: Confusing the supinum form spelat with the preteritum form spelade"
Kelly List,Set 01,0201 to 0250,Subj,Så att,Han pratade långsamt så att alla kunde förstå.,"so that, in order that, so",He spoke slowly so that everyone could understand.,"para que, de modo que, a fin de que",Habló despacio para que todos pudieran entender.,"تا اینکه, برای اینکه, به طوری که",او آرام صحبت کرد تا همه متوجه شوند.,"ώστε, έτσι ώστε, προκειμένου να",Μίλησε αργά ώστε να καταλάβουν όλοι.,"щоб, так щоб, для того щоб","Він говорив повільно, щоб усі могли зрозуміти.","чтобы, так чтобы, для того чтобы","Он говорил медленно, чтобы все могли понять.","ताकि, जिससे कि, इस तरह कि",वह धीरे बोला ताकि सब समझ सकें।,"যাতে, যেন, যাতে করে",তিনি ধীরে কথা বলতেন যাতে সবাই বুঝতে পারে।,"kështu që, në mënyrë që, që",Ai foli ngadalë kështu që të gjithë mund ta kuptonin.,"diye, -sin diye, öyle ki",Herkes anlasın diye yavaş konuştu.,"supaya, agar, sehingga",Dia bercakap dengan perlahan supaya semua orang boleh faham.,"upang, para, nang sa gayon",Nagsalita siya nang dahan-dahan upang maintindihan ng lahat.,,,,,,,,,,,,,45637,"GROUP: N/A # FORM: 4 # FREQ: 10 # NUANCE: A subordinating conjunction used to introduce a purpose clause (denoting intention) or a result clause (denoting a consequence). In the given context it expresses the purpose behind the action. # PART: N/A # COLL: Tala tydligt så att, träna hårt så att, spara pengar så att # REG: Universal, suitable for both casual conversation and formal writing # REFL: N/A # ERR: Learners often confuse purpose and result or misplace the word order in the subordinate clause (BIFF-regel) when an adverb like 'inte' is present. Some may also omit 'att' in informal speech which is common but should be avoided in formal SVA1 writing.",,,
Kelly List,Set 01,0201 to 0250,Adverb,Lika,De två husen ser nästan lika ut.,"equally, alike, same",The two houses look almost the same.,"igual, igualmente, de la misma manera",Las dos casas se ven casi iguales.,"به طور یکسان, برابر, همانطور",این دو خانه تقریباً یکسان به نظر می رسند.,"εξίσου, το ίδιο, παρόμοια",Τα δύο σπίτια μοιάζουν σχεδόν το ίδιο.,"однаково, так само, порівну",Ці два будинки виглядають майже однаково.,"одинаково, равно, так же",Эти два дома выглядят почти одинаково.,"समान रूप से, बराबर, वैसा ही",दोनों घर लगभग एक जैसे दिखते हैं।,"সমানভাবে, একইভাবে, তদ্রূপ",বাড়ি দুটি দেখতে প্রায় একই রকম।,"njëlloj, baraz, i njëjtë",Të dy shtëpitë duken pothuajse njësoj.,"eşitçe, aynı şekilde, farksız",İki ev neredeyse aynı görünüyor.,"sama, serupa, setara",Kedua-dua rumah itu kelihatan hampir sama.,"pareho, pantay, magkatulad",Ang dalawang bahay ay halos magkatulad ang hitsura.,,,,,,,,,,,,,44946,"GROUP: N/A # FORM: 3 # FREQ: 10 # NUANCE: Denotes equality or similarity in appearance quality or quantity. Often used in comparisons or as part of a phrasal verb to indicate how something looks or feels. # PART: Se lika ut (look the same) # COLL: Lika bra, lika mycket, lika många, nästan lika # REG: Allmän och vardaglig # REFL: N/A # ERR: Students often confuse lika with likadan. Lika is used for quality or degree while likadan is used for identical objects. Many also forget to use the particle ut when describing appearance.",,,
Kelly List,Set 01,0201 to 0250,Verb,Att hitta,Jag kan inte hitta mina nycklar någonstans.,"find, locate, discover",I cannot find my keys anywhere.,"encontrar, hallar, localizar",No puedo encontrar mis llaves por ninguna parte.,"پیدا کردن, یافتن, جستن",من نمی‌توانم کلیدهایم را هیچ‌جا پیدا کنم.,"βρίσκω, εντοπίζω, ανακαλύπτω",Δεν μπορώ να βρω τα κλειδιά μου πουθενά.,"знайти, відшукати, виявити",Я ніде не можу знайти свої ключі.,"найти, обнаружить, отыскать",Я нигде не могу найти свои ключи.,"पाना, खोजना, ढूंढना",मुझे अपनी चाबियाँ कहीं नहीं मिल रही हैं।,"খুঁজে পাওয়া, সন্ধান করা, আবিষ্কার করা",আমি আমার চাবিগুলো কোথাও খুঁজে পাচ্ছি না।,"gjej, zbuloj, ndesh",Nuk po i gjej dot çelësat e mi asgjëkund.,"bulmak, rastlamak, keşfetmek",Anahtarlarımı hiçbir yerde bulamıyorum.,"mencari, menemui, menjumpai",Saya tidak dapat menemui kunci saya di mana-mana.,"mahanap, matagpuan, madiskubre",Hindi ko mahanap ang aking mga susi kahit saan.,hittar,"finds, is finding",Hon hittar alltid de bästa lösningarna.,She always finds the best solutions.,hittade,found,Vi hittade en gammal karta i källaren.,We found an old map in the basement.,hittat,found,Har du hittat det du letade efter?,Have you found what you were looking for?,44544,"GROUP: 1 # FORM: 1 # FREQ: 10 # NUANCE: Denotes the act of discovering something or someone by chance or through searching. It implies the successful result of a search or an unexpected discovery. # PART: Hitta på (invent/make up), Hitta ut (find one's way out), Hitta hem (find one's way home) # COLL: Hitta en lösning, hitta rätt, hitta vägen, hitta på något kul # REG: General # REFL: Non-reflexive # ERR: Students sometimes confuse it with 'söka' (to search) or 'leta' (to look for) but 'hitta' refers to the result of finding rather than the process "," GROUP: 1 # FORM: 1 # FREQ: 10 # NUANCE: Indicates a habitual action or a current state of finding things. Often used to describe a person's ability or character trait in finding solutions or objects. # PART: Hittar på, hittar ut, hittar hem # COLL: Hittar alltid, hittar lätt, hittar ingenting # REG: General # REFL: Non-reflexive # ERR: Mixing up the present tense ending -ar with -er which is common in Group 2 verbs "," GROUP: 1 # FORM: 1 # FREQ: 10 # NUANCE: Describes a completed action of finding in the past. It provides a specific point in time when the discovery occurred. # PART: Hittade på, hittade ut, hittade hem # COLL: Hittade äntligen, hittade av en slump, hittade inte # REG: General # REFL: Non-reflexive # ERR: Using the strong verb pattern for past tense instead of the regular Group 1 -ade ending "," GROUP: 1 # FORM: 1 # FREQ: 10 # NUANCE: Used with auxiliary verbs like 'har' or 'hade' to indicate an action that has been completed at an unspecified time before now. # PART: Hittat på, hittat ut, hittat hem # COLL: Har hittat, har inte hittat än, har hittat rätt # REG: General # REFL: Non-reflexive # ERR: Confusing the supinum 'hittat' with the past participle 'hittad' which must agree with the noun's gender and number"
Kelly List,Set 01,0201 to 0250,Noun,Ett Tag,Vänta ett tag så kommer jag snart.,"a while, a bit, a moment",Wait a while and I will come soon.,"un rato, un momento, un poco",Espera un rato y vendré pronto.,"یک مدت, کمی, یک لحظه",کمی صبر کن، من به زودی می آیم.,"ένα διάστημα, λίγο, μια στιγμή",Περίμενε λίγο και θα έρθω σύντομα.,"якийсь час, трохи, мить","Зачекайте трохи, і я скоро прийду.","некоторое время, немного, миг","Подождите немного, я скоро приду.","कुछ समय, थोड़ी देर, एक पल","थोड़ी देर रुकिए, मैं जल्द ही आऊंगा।","কিছুক্ষণ, অল্প সময়, এক মুহূর্ত","কিছুক্ষণ অপেক্ষা করুন, আমি শীঘ্রই আসছি।","një farë kohe, pak, një moment",Prit pak dhe do të vij së shpejti.,"bir süre, biraz, bir an","Bir süre bekle, yakında geleceğim.","sebentar, seketika, sekejap",Tunggu sebentar dan saya akan datang tidak lama lagi.,"isang sandali, sandali, saglit",Maghintay ka lang nang sandali at darating na ako.,,,,,,,,,,,,,44475,"GROUP: N/A # FORM: 3 # FREQ: 10 # NUANCE: Denotes an unspecified but usually short period of time. It is a very common idiomatic expression used to mean a while or a moment. # PART: N/A # COLL: Vänta ett tag, för ett tag sedan, om ett tag, sitta ett tag # REG: Informal to neutral # REFL: N/A # ERR: Learners often confuse it with the noun tagg (spike) or use the word tid (time) in contexts where the idiomatic ett tag is more natural for expressing a short duration.",,,
