Source,Subtopic1,Subtopic2,Swedish,SwedishExample,en_Word,en_Example,es_Word,es_Example,fa_Word,fa_Example,el_Word,el_Example,uk_Word,uk_Example,ru_Word,ru_Example,hi_Word,hi_Example,bn_Word,bn_Example,sq_Word,sq_Example,tr_Word,tr_Example,ms_Word,ms_Example,fil_Word,fil_Example
Kelly List,A1,001-100,all,Alla pratar om det här.,"all, every, each",Everyone is talking about this.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att göra Imp: gör, Pr: gör, Pa: gjorde, Sup: gjort",Vad ska vi göra i helgen?,"do, make, perform",What are we going to do this weekend?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,om,Vi ses om en timme.,"if, whether, case",See you in an hour.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"någon (vardagl. nån, förk. ngn)",Det är någon vid dörren.,"someone, somebody, anybody",There is someone at the door.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att finna Imp: finn, Pr: finner, Pa: fann, Sup: funnit",Jag hoppas att vi kan finna en lösning på problemet.,"find, discover, locate",I hope that we can find a solution to the problem.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att ta (el. taga) Imp: ta, Pr: tar, Pa: tog, Sup: tagit",Jag ska ta bussen till jobbet imorgon.,"take, grab, seize",I am going to take the bus to work tomorrow.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,när,Jag läste en bok när telefonen ringde.,"when, while, as",I was reading a book when the phone rang.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att se Imp: se, Pr: ser, Pa: såg, Sup: sett",Jag kan se huset härifrån.,"see, look, observe",I can see the house from here.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,måste,Jag måste gå hem nu.,"must, have to, need to",I must go home now.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,detta,Vad är detta för något?,"this, that, it",What is this?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,nu,Vad ska vi göra nu?,"now, currently, presently",What are we going to do now?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att gå Imp: gå, Pr: går, Pa: gick, Sup: gått",Jag går till skolan varje dag.,"go, walk, move",I go to school every day.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att säga Imp: säg, Pr: säger, Pa: sa, Sup: sagt",Vad vill du säga?,"say, state, utter",What do you want to say?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,den,Jag ser den röda bilen på parkeringen.,"it, that, this",I see the red car in the parking lot.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att äga Imp: äg, Pr: äger, Pa: ägde, Sup: ägt",Hon äger en vacker lägenhet i Stockholm.,"own, possess, have",She owns a beautiful apartment in Stockholm.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att betyda Imp: betyd, Pr: betyder, Pa: betydde, Sup: betytt",Vad betyder det här ordet?,"mean, signify, denote",What does this word mean?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,också (vardagl. oxå),Jag gillar också att dricka kaffe på morgonen.,"also, too, as well",I also like to drink coffee in the morning.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,då,Vad hände då?,"then, so, therefore",What happened then?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,böra,Du bör äta mer grönsaker för att må bra.,"should, ought, must",You should eat more vegetables to feel good.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,hur,Hur mår du i dag?,"how, way, manner",How are you doing today?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,mig (vardagl. mej),Kan du hjälpa mig med läxan?,"me, myself, I",Can you help me with the homework?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,mot,Bussen åker mot centrum.,"towards, against, versus",The bus is going towards the city center.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,bara,Det tar bara fem minuter att gå till stationen.,"only, merely, simply",It only takes five minutes to walk to the station.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,vilken,Vilken bok läser du just nu?,"which, whichever, what",Which book are you reading right now?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,ut,Ska vi gå ut och äta middag ikväll?,"out, outside, away",Shall we go out and have dinner tonight?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,vid,Hon bor i en lägenhet vid havet.,"at, by, near",She lives in an apartment by the sea.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,bra,Det är en mycket bra film.,"good, fine, well",It is a very good movie.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,ingen,Det finns ingen mjölk kvar i kylskåpet.,"none, nobody, zero",There is no milk left in the refrigerator.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,dem (vardagl. dom),Jag gav dem boken.,"them, those, they",I gave them the book.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,upp,Hon gick upp för trappan för att hämta sin väska.,"up, upward, upwards",She went up the stairs to get her bag.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,lite,"Jag skulle vilja ha lite kaffe, tack.","little, bit, slightly","I would like a little coffee, please.",,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,denna,Denna bok är mycket intressant.,"this, that, current",This book is very interesting.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,mycket,Tack så mycket för hjälpen.,"much, many, a lot",Thank you very much for the help.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,över,Boken ligger på bordet över tidningen.,"over, above, across",The book is on the table over the newspaper.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att ge (formellt giva) Imp: ge, Pr: ger, Pa: gav, Sup: gett",Hon gav honom en present på hans födelsedag.,"give, provide, offer",She gave him a present on his birthday.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,vår (vardagl. våran),Det här är vår nya bil.,"our, ours, us",This is our new car.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,även,"Han talar inte bara svenska, utan även engelska.","also, even, furthermore","He speaks not only Swedish, but also English.",,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att skriva Imp: skriv, Pr: skriver, Pa: skrev, Sup: skrivit",Jag gillar att skriva brev till mina vänner.,"write, compose, record",I like to write letters to my friends.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,en tid,Jag har inte tid just nu.,"time, period, era",I do not have time right now.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,ju,Det är ju fantastiskt väder idag.,"indeed, surely, certainly",The weather is indeed fantastic today.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att te sig Imp: te, Pr: ter, Pa: tedde, Sup: tett",Det ter sig vara en bra idé.,"seem, appear, look",It seems to be a good idea.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att riva Imp: riv, Pr: river, Pa: rev, Sup: rivit",De ska riva det gamla huset för att bygga ett nytt.,"tear, rip, shred",They are going to tear down the old house to build a new one.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att börja Imp: börja, Pr: börjar, Pa: började, Sup: börjat",Jag börjar läsa en bok.,"begin, start, commence",I start reading a book.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,hel,Hela familjen samlades för att fira hans födelsedag.,"whole, entire, complete",The whole family gathered to celebrate his birthday.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,själv,Jag kan göra det själv.,"self, alone, personally",I can do it myself.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,en människa,Varje människa har rätt till ett värdigt liv.,"human, person, individual",Every human being has the right to a dignified life.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,ett land,Sverige är ett vackert land med mycket skog.,"country, state, nation",Sweden is a beautiful country with a lot of forest.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,svensk,Han är en svensk författare.,"Swedish, Scandinavian, Nordic",He is a Swedish author.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,en fråga,Kan jag ställa en fråga?,"question, inquiry, query",Can I ask a question?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att tro Imp: tro, Pr: tror, Pa: trodde, Sup: trott",Jag tror att det kommer att regna idag.,"believe, trust, think",I believe that it will rain today.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,el,Priset på el har stigit kraftigt den här månaden.,"electricity, energy, power",The price of electricity has risen sharply this month.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att tycka Imp: tyck, Pr: tycker, Pa: tyckte, Sup: tyckt",Vad tycker du om den här boken?,"think, believe, consider",What do you think of this book?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att veta Imp: veta, Pr: vet, Pa: visste, Sup: vetat",Jag vet inte vad han heter.,"know, understand, realize",I don't know what his name is.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att försöka Imp: försök, Pr: försöker, Pa: försökte, Sup: försökt",Jag ska försöka göra mitt bästa.,"try, attempt, endeavor",I will try to do my best.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att behöva Imp: behöv, Pr: behöver, Pa: behövde, Sup: behövt",Jag behöver köpa lite mjölk på vägen hem.,"need, require, necessitate",I need to buy some milk on the way home.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,samma,Vi har samma åsikt i den här frågan.,"same, identical, selfsame",We have the same opinion on this matter.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,mellan,Bussen stannar mitt emellan staden och flygplatsen.,"between, among, amid",The bus stops midway between the city and the airport.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att känna Imp: känn, Pr: känner, Pa: kände, Sup: känt",Jag kan känna att det kommer att bli en bra dag.,"feel, sense, perceive",I can feel that it is going to be a good day.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att läsa Imp: läs, Pr: läser, Pa: läste, Sup: läst",Jag tycker om att läsa böcker på kvällen.,"read, study, peruse",I like to read books in the evening.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att ro Imp: ro, Pr: ror, Pa: rodde, Sup: rott",Efter en lång arbetsdag behöver jag lite lugn och ro.,"row, paddle, propel","After a long workday, I need some peace and quiet.",,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,lik,De hittade ett gammalt lik i skogen.,"alike, similar, related",They found an old corpse in the forest.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,"att låta Imp: låt, Pr: låter, Pa: lät, Sup: låtit",Hon lät barnen leka i trädgården.,"let, allow, permit",She let the children play in the garden.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,olik,De två bröderna är väldigt olika varandra.,"different, dissimilar, unlike",The two brothers are very different from each other.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,ett sätt,Det finns många sätt att lösa det här problemet på.,"way, method, manner",There are many ways to solve this problem.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,hans,Han tvättar hans bil.,"his, him, belonging",He is washing his car.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,001-100,din,Var är din hund?,"your, thy, thine",Where is your dog?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,en gång,Jag går till gymmet en gång i veckan.,"time, occasion, instance",I go to the gym once a week.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att stå Imp: stå, Pr: står, Pa: stod, Sup: stått",De står i kö till nästa buss.,"stand, rise, upright",They are standing in line for the next bus.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,inom,Vi ska träffas inom en timme.,"within, inside, during",We will meet within an hour.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att visa Imp: visa, Pr: visar, Pa: visade, Sup: visat",Kan du visa mig vägen till stationen?,"show, display, exhibit",Can you show me the way to the station?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att vända Imp: vänd, Pr: vänder, Pa: vände, Sup: vänt",Hon vände sig om för att se vem som ropade.,"turn, rotate, flip",She turned around to see who was calling.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att använda Imp: använd, Pr: använder, Pa: använde, Sup: använt",Kan jag använda din dator en stund?,"use, employ, utilize",Can I use your computer for a while?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att hålla Imp: håll, Pr: håller, Pa: höll, Sup: hållit",Kan du hålla min väska ett tag?,"hold, grasp, grip",Can you hold my bag for a while?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,helt,Det är helt fantastiskt att vara här.,"completely, totally, entirely",It is absolutely fantastic to be here.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,utan,Han dricker kaffe utan socker.,"without, lacking, minus",He drinks coffee without sugar.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,ett barn,Hon har två barn som går i skolan.,"child, kid, youngster",She has two children who go to school.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,enligt,Allt gick enligt planen.,"according, to, per",Everything went according to plan.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att tänka Imp: tänk, Pr: tänker, Pa: tänkte, Sup: tänkt",Jag tänker ofta på framtiden.,"think, reflect, consider",I often think about the future.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,ni,Hur mår ni idag?,"you, ye, y'all",How are you today?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,viktig,Det är viktigt att sova ordentligt varje natt.,"important, crucial, significant",It is important to sleep properly every night.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,en ring,Hon ringde mig igår kväll.,"ring, band, circle",She called me last night.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,eftersom,Jag stannade hemma eftersom jag var sjuk.,"because, since, as",I stayed home because I was sick.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,egen,Han har ett eget rum.,"own, personal, private",He has his own room.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,ett folk,Det är mycket folk på tåget idag.,"people, nation, public",There are many people on the train today.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,en regering,Regeringen fattade ett viktigt beslut igår.,"government, administration, regime",The government made an important decision yesterday.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,fram,Kan du komma fram till tavlan?,"forward, ahead, onward",Can you come forward to the whiteboard?,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att söka Imp: sök, Pr: söker, Pa: sökte, Sup: sökt",Jag ska söka ett nytt jobb nästa vecka.,"seek, search, look",I am going to look for a new job next week.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,dig (vardagl. dej),Jag tycker om dig.,"you, thee, yourself",I like you.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,utan,Han kan inte leva utan sin mobiltelefon.,"without, excluding, besides",He cannot live without his mobile phone.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,hög,Huset står på en hög kulle med utsikt över havet.,"high, tall, lofty",The house stands on a high hill overlooking the sea.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,länge,Jag har bott här länge.,"long, lengthily, extensively",I have lived here for a long time.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,en person,Hon är en snäll person.,"person, individual, human",She is a kind person.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att ligga Imp: ligg, Pr: ligger, Pa: låg, Sup: legat",Boken ligger på bordet.,"lie, recline, rest",The book is lying on the table.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,just,Jag vill bara ha en kopp kaffe.,"just, exactly, precisely",I just want a cup of coffee.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att lägga Imp: lägg, Pr: lägger, Pa: lade, Sup: lagt",Var snäll och lägg boken på bordet.,"put, place, lay",Please put the book on the table.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,redan,Jag har redan ätit middag.,"already, previously, before",I have already eaten dinner.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,en man,Han är en snäll man.,"man, male, person",He is a kind man.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,ett fall,Löven börjar ändra färg och falla från träden.,"case, instance, occurrence",The leaves are starting to change color and fall from the trees.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,aldrig,Jag säger aldrig nej till en kopp kaffe.,"never, not ever, at no time",I never say no to a cup of coffee.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,en artikel,Han skrev en intressant artikel i tidningen.,"article, item, piece",He wrote an interesting article in the newspaper.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att anse Imp: anse, Pr: anser, Pa: ansåg, Sup: ansett",Vi anser att det är en bra idé.,"consider, believe, think",We think it is a good idea.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att öva Imp: öva, Pr: övar, Pa: övade, Sup: övat","Om jag hade tid, skulle jag öva mer svenska.","practice, exercise, train","If I had time, I would practice more Swedish.",,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,ett lag,Det är mot lagen att köra för fort.,"law, rule, statute",It is against the law to speed.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,ett tal,Han höll ett fantastiskt tal på bröllopet.,"speech, lecture, talk",He gave a fantastic speech at the wedding.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,nog,Det ordnar sig nog.,"presumably, probably, likely",It will probably be fine.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,en bok,Jag läser en bok.,"book, volume, publication",I am reading a book.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att handla Imp: handla, Pr: handlar, Pa: handlade, Sup: handlat",Jag gillar att handla mat på lördagar.,"shop, buy, purchase",I like to shop for groceries on Saturdays.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,gammal,Han bor i ett gammal hus på landet.,"old, aged, elderly",He lives in an old house in the country.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,en bild,Han hängde upp en vacker bild på väggen.,"picture, image, photo",He hung a beautiful picture on the wall.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att öka Imp: öka, Pr: ökar, Pa: ökade, Sup: ökat",Vi behöver öka takten för att hinna färdigt i tid.,"increase, expand, augment",We need to increase the pace to finish on time.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,därför,"Det regnade, därför stannade vi inomhus.","therefore, hence, thus","It was raining, therefore we stayed indoors.",,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,god,Maten smakar mycket god.,"good, pleasant, tasty",The food tastes very good.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att skapa Imp: skapa, Pr: skapar, Pa: skapade, Sup: skapat",Konstnären skapade ett vackert konstverk.,"create, make, build",The artist created a beautiful work of art.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,ett arbete,Jag har mycket arbete att göra den här veckan.,"work, job, labor",I have a lot of work to do this week.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att kapa Imp: kapa, Pr: kapar, Pa: kapade, Sup: kapat",Han kapade grenarna på det gamla äppelträdet.,"cut, chop, sever",He cut the branches on the old apple tree.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,samt,Han talar svenska samt engelska flytande.,"and, also, plus",He speaks Swedish as well as English fluently.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,innan,Jag måste gå hem innan det blir mörkt.,"before, prior, previous",I have to go home before it gets dark.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,som,Det här är boken som jag läste igår.,"as, while, when",This is the book that I read yesterday.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,ur,Hon tog en penna ur väskan.,"out of, from, off",She took a pen out of the bag.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att gälla Imp: gäll, Pr: gäller, Pa: gällde, Sup: gällt",Dessa regler börjar gälla från och med nästa vecka.,"apply, hold, obtain",These rules will begin to apply as of next week.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att verka Imp: verka, Pr: verkar, Pa: verkade, Sup: verkat",Han verkar vara väldigt trött idag.,"seem, look, appear",He seems to be very tired today.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att tala Imp: tala, Pr: talar, Pa: talade, Sup: talat",Han kan tala svenska flytande.,"speak, talk, converse",He can speak Swedish fluently.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,"att bära Imp: bär, Pr: bär, Pa: bar, Sup: burit",Hon bar en tung ryggsäck hela vägen hem.,"carry, bear, transport",She carried a heavy backpack all the way home.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,en väg,Den här vägen leder till staden.,"way, road, path",This road leads to the city.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,alltså,Jag talar alltså sanning.,"therefore, thus, consequently",I am therefore telling the truth.,,,,,,,,,,,,,,,,,,,,,,
Kelly List,A1,101-200,en stad,Stockholm är en vacker stad.,"city, town, municipality",Stockholm is a beautiful city.,,,,,,,,,,,,,,,,,,,,,,
