Source,Subtopic1,Subtopic2,Swedish,SwedishExample,en_Word,en_Example,es_Word,es_Example,fa_Word,fa_Example,el_Word,el_Example,uk_Word,uk_Example,ru_Word,ru_Example,hi_Word,hi_Example,bn_Word,bn_Example,sq_Word,sq_Example,tr_Word,tr_Example,ms_Word,ms_Example,fil_Word,fil_Example
Torbjörn,10th Nov,Klassord,varuhus,Vi köpte nya kläder på varuhuset i stan.,department store,We bought new clothes at the department store in town.,,,,,,,,,,,,,,,,,,,,,,
Torbjörn,10th Nov,Klassord,sakte,Han rörde sig sakte genom folkmassan.,slowly,He moved slowly through the crowd.,,,,,,,,,,,,,,,,,,,,,,
Torbjörn,10th Nov,Klassord,en tingsrätt,Målet togs upp i tingsrätten.,a district court,The case was brought up in the district court.,,,,,,,,,,,,,,,,,,,,,,
Torbjörn,10th Nov,Klassord,en hövrätt,Vi har en hövrätt över vår grannes mark.,a right of way,We have a right of way over our neighbor's land.,,,,,,,,,,,,,,,,,,,,,,
Torbjörn,10th Nov,Klassord,trendigaste,Jag köpte den trendigaste tröjan i butiken.,trendiest,I bought the trendiest shirt in the store.,,,,,,,,,,,,,,,,,,,,,,
Torbjörn,10th Nov,Klassord,neonnyanser,Hon målade naglarna i klara neonnyanser.,neon shades,She painted her nails in bright neon shades.,,,,,,,,,,,,,,,,,,,,,,
Torbjörn,10th Nov,Klassord,chockrosa,Jag köpte en tröja i chockrosa färg.,shock pink,I bought a shirt in hot pink.,,,,,,,,,,,,,,,,,,,,,,
Torbjörn,10th Nov,Klassord,mintgrönt,Jag köpte en tröja i mintgrönt.,mint green,I bought a mint green sweater.,,,,,,,,,,,,,,,,,,,,,,
Torbjörn,10th Nov,Klassord,individualismen,Individualismen är stark i det moderna samhället.,individualism,Individualism is strong in modern society.,,,,,,,,,,,,,,,,,,,,,,
Torbjörn,10th Nov,Klassord,högkonjunktur,Under högkonjunkturen ökade investeringarna.,boom,"During the boom, investments increased.",,,,,,,,,,,,,,,,,,,,,,
Torbjörn,10th Nov,Klassord,oerhört,Han var oerhört trött efter den långa resan.,incredibly,He was extremely tired after the long journey.,,,,,,,,,,,,,,,,,,,,,,
Torbjörn,10th Nov,Klassord,konkurrera ut,De små butikerna riskerar att konkurreras ut av de stora kedjorna.,compete out,Small stores risk being out-competed by the large chains.,,,,,,,,,,,,,,,,,,,,,,
Torbjörn,10th Nov,Klassord,försvaret,Regeringen satsar mer pengar på försvaret.,defense,The government is investing more money in defense.,,,,,,,,,,,,,,,,,,,,,,
Torbjörn,10th Nov,Klassord,allvarlig,Detta är en allvarlig situation som kräver omedelbara åtgärder.,serious,This is a serious situation that requires immediate action.,,,,,,,,,,,,,,,,,,,,,,
Torbjörn,10th Nov,Klassord,kärnkraftsolycka,Efter Tjernobylolyckan ökade oron för en kärnkraftsolycka i Sverige.,nuclear accident,"After the Chernobyl accident, concerns about a nuclear accident in Sweden increased.",,,,,,,,,,,,,,,,,,,,,,
