Source,Subtopic1,Subtopic2,Swedish,SwedishExample,en_Word,en_Example,es_Word,es_Example,fa_Word,fa_Example,el_Word,el_Example,uk_Word,uk_Example,ru_Word,ru_Example,hi_Word,hi_Example,bn_Word,bn_Example,sq_Word,sq_Example,tr_Word,tr_Example,ms_Word,ms_Example,fil_Word,fil_Example
Ingrid,Klassord,12th Nov,Har du hört att kungen ska emigrera,Har du hört att kungen ska emigrera till Spanien,emigrate / migrate / resettle,Have you heard that the king is going to emigrate to Spain,emigrar / migrar / trasladarse,¿Has oído que el rey va a emigrar a España?,مهاجرت کردن / کوچ کردن,آیا شنیده‌ای که پادشاه می‌خواهد به اسپانیا مهاجرت کند؟,μεταναστεύω / ξεπατρίζομαι,Έχετε ακούσει ότι ο βασιλιάς θα μεταναστεύσει στην Ισπανία,Ви чули / що король збирається емігрувати / Ви чули,Ви чули / що король збирається емігрувати до Іспанії,Вы слышали / что король собирается эмигрировать / Ты слышал / что король собирается эмигрировать,Вы слышали / что король собирается эмигрировать в Испанию,क्या आपने सुना है कि राजा देश छोड़कर जाने वाले हैं / क्या आपने सुना है कि राजा विदेश जाने वाले हैं,क्या आपने सुना है कि राजा स्पेन में प्रवास करने वाला है,দেশান্তরী হওয়া / flytta ut / utvandra,আপনি কি শুনেছেন যে রাজা স্পেনে অভিবাসন করতে যাচ্ছেন?,emigroj / shpërngulem,A e keni dëgjuar që mbreti do të emigrojë në Spanjë,göç etmek / taşınmak,Kralın İspanya'ya göç edeceğini duydun mu?,berhijrah / berpindah / migrasi,Adakah anda mendengar bahawa raja akan berhijrah ke Sepanyol,lumipat ng bansa / mandayuhan,Nabalitaan mo ba na ang hari ay aalis at titira sa Spain?
Ingrid,Klassord,12th Nov,garage,Jag parkerar min bil i garaget,garage / lockup / car repair shop,I park my car in the garage,el garaje / la cochera el taller,Yo aparco mi coche en el garaje.,gārāge / charkhāne,من ماشینم را در گاراژ پارک می کنم,γκαράζ / συνεργείο αυτοκινήτων,Παρκάρω το αυτοκίνητό μου στο γκαράζ,гараж / автосервис / автомайстерня,Я паркую свою машину в гаражі.,гараж / крытая парковка,Я паркую свою машину в гараже,गैराज (कार रखने की जगह / यानशाला),मैं अपनी कार गैरेज में पार्क करता हूँ।,মোটরগাড়ি রাখার বা মেরামত করার ঘর,আমি আমার গাড়ি গ্যারেজে পার্ক করি।,garazh / bilverkstad,E parkoj makinën time në garazh,garaj (lockup / bilverkstad),Arabamı garaja park ediyorum,garaj / bangsal kereta,Saya memarkir kereta saya di garaj,garahe / carport / repair shop,Ipinapark ko ang kotse ko sa garahe
Ingrid,Klassord,12th Nov,division,Barnen lär sig lång division i skolan,division / separation / partition,Children learn long division in school,división / reparto / distribución,Los niños aprenden la división larga en la escuela.,تقسیم / بخش / واحد,بچه ها تقسیم طولانی را در مدرسه یاد می گیرند,σχίσμα / schism / split,Τα παιδιά μαθαίνουν μακρά διαίρεση στο σχολείο.,ділення / розділ / розбіжність,Діти вивчають довге ділення в школі,разделение / деление,Дети изучают длинное деление в школе.,भाग / विभाजन,बच्चे स्कूल में लंबा भाग सीख रहे हैं।,বিভাজন / ভাগ / অংশ,বাচ্চারা স্কুলে দীর্ঘ ভাগ করা শিখছে।,ndarje / sekti,Fëmijët mësojnë ndarjen e gjatë në shkollë,bölüm / kısım,Çocuklar okulda uzun bölme öğreniyor.,pembahagian / pemisahan / bahagian,Kanak-kanak sedang belajar pembahagian panjang di sekolah.,dibisyon / paghahati,Natututo ang mga bata ng long division sa paaralan
Ingrid,Klassord,12th Nov,permission,Jag fick tillstånd att gå hem,tillstånd / medgivande / lov,I got permission to go home,permiso / autorización,Me permitieron ir a casa.,اجازه / اذن,من اجازه داشتم به خانه بروم,άδεια / έγκριση,Μου δόθηκε άδεια να πάω σπίτι,дозвіл / допуск / license,Мені дозволили піти додому.,разрешение / позволение,Я получил разрешение пойти домой.,अनुमति / इजाज़त,मुझे घर जाने की अनुमति मिली।,অনুমতি / আজ্ঞা,আমি বাড়ি যাওয়ার অনুমতি পেয়েছি,lejim / license / permit,Më dhanë leje të shkoja në shtëpi,izin / müsaade,Eve gitmeme izin verildi,kebenaran; keizinan / persetujuan,Saya telah diberikan kebenaran untuk pulang,pahintulot / permiso,Binigyan ako ng permiso na umuwi.
Ingrid,Klassord,12th Nov,dusch,Han tog en snabb dusch,shower / bath / wash,He took a quick shower,ducha / regadera / aguacero,Tomó una ducha rápida,دوش / دوش آب,او یک دوش سریع گرفت,ντους / καταιόνηση,Έκανε ένα γρήγορο ντους,душ / rinse / sluice,Він прийняв швидкий душ,душ ливень / количество осадков,Он принял быстрый душ,शॉवर / स्नान,उसने जल्दी से स्नान कर लिया,স্নান / শাওয়ার / ঝরনা,তিনি দ্রুত স্নান করলেন,dush / brerimë,Ai bëri një dush të shpejtë,duş / şırınga / fıskiye,Hızlı bir duş aldı.,mandi pancuran / pancuran / siraman,Dia mandi cepat,shower / rain / downpour,Naligo siya nang mabilis
Ingrid,Klassord,12th Nov,giraff,Giraffen åt löv från ett högt träd,giraffe / Giraffa camelopardalis,The giraffe ate leaves from a tall tree,jirafa / la jirafa,La jirafa comió hojas de un árbol alto,زرافه / camelopard / Giraffa camelopardalis,زرافه از یک درخت بلند برگ خورد.,καμηλοπάρδαλη / camelopard,Η καμηλοπάρδαλη έτρωγε φύλλα από ένα ψηλό δέντρο,жираф / sjiraff,Жираф їв листя з високого дерева,жирафа,Жираф ел листья с высокого дерева,जिराफ़ / camelopard / giraffa camelopardalis,जिराफ़ ने एक ऊँचे पेड़ से पत्तियाँ खाईं।,জিরাফ; synonyms not available,জিরাফটি একটি লম্বা গাছ থেকে পাতা খাচ্ছিল,gjirafë / camelopard,Gjirafa hëngri gjethe nga një pemë e lartë,zürafa,Zürafa yüksek bir ağaçtan yaprak yedi,zirafah / jerapah,Zirafah itu makan daun dari pokok yang tinggi,dyirap / talapà,Kumain ang giraffe ng mga dahon mula sa isang mataas na puno.
Ingrid,Klassord,12th Nov,journalist,Journalisten skrev en lång artikel,journalist / reporter / correspondent,The journalist wrote a long article,periodista / reportero / corresponsal,El periodista escribió un largo artículo,روزنامه‌نگار (نویسنده / خبرنگار),ژورنالیست یک مقاله طولانی نوشت,δημοσιογράφος / ανταποκριτής,Ο δημοσιογράφος έγραψε ένα μεγάλο άρθρο,журналіст / репортер,Журналіст написав довгу статтю,журналист / репортер,Журналист написал длинную статью,पत्रकार / संवाददाता,पत्रकार ने एक लंबा लेख लिखा।,সাংবাদিক / সংবাদ প্রতিবেদক,সাংবাদিক একটি দীর্ঘ প্রবন্ধ লিখেছেন।,gazetar / reporter,Gazetari shkroi një artikull të gjatë,gazeteci / muhabir,Gazeteci uzun bir makale yazdı,wartawan / pemberita,Wartawan itu menulis artikel yang panjang,peryodista / reporter,Ang mamamahayag ay sumulat ng isang mahabang artikulo
Ingrid,Klassord,12th Nov,stjärna,Jag såg en stor stjärna på himlen,star / celebrity / ace,I saw a big star in the sky,la estrella / el astro / la celebridad,Vi una estrella grande en el cielo,ستاره / کوکب,من یک ستاره بزرگ در آسمان دیدم,ἀστήρ / star / celestial body,Είδα ένα μεγάλο αστέρι στον ουρανό,зірка / зоря / світило,Я бачив велику зірку на небі,звезда / светило,Я видел большую звезду в небе,सितारा (sitaaraa) / तारा (taaraa),मैंने आसमान में एक बड़ा तारा देखा,তারা / celebrity / principal,আমি আকাশে একটি বড় তারা দেখেছি,yll / planet / diell,Pashë një yll të madh në qiell.,yıldız / necm,Gökyüzünde büyük bir yıldız gördüm,bintang / bintang / selebriti,Saya melihat bintang besar di langit,Bituin / Tala,Nakita ko ang isang malaking bituin sa langit.
Ingrid,Klassord,12th Nov,kurs,Jag går en kurs i matlagning,course / rate / direction,I am taking a cooking course,curso / rumbo / cap,Estoy tomando un curso de cocina.,دوره / مسیر,من در یک دوره آشپزی شرکت می‌کنم.,πορεία / κατεύθυνση,Πηγαίνω σε ένα μάθημα μαγειρικής.,курс / потік,Я йду на курси кулінарії,курс / направление / ставка,Я прохожу курс кулинарии,पाठ्यक्रम / दिशा,मैं खाना पकाने का कोर्स कर रहा हूँ।,হার / বিনিময় হার,আমি একটি রান্নার কোর্স করছি,kurs / leksion,Unë ndjek një kurs gatimi,kurs / ders / eğitim,Yemek pişirme kursuna gidiyorum,kursus / række / ret,Saya mengambil kursus memasak.,kurso / takbo,Ako ay kumukuha ng kurso sa pagluluto.
Ingrid,Klassord,12th Nov,skidor,Jag gillar att åka skidor,ski / glide / slide,I like to ski,esquiar / deslizarse / patinar,Me gusta esquiar.,چوب‌های اسکی / اسکی,من اسکی کردن را دوست دارم,σκι / πέδιλα,Μου αρέσει να κάνω σκι.,лижі / лижня / лижник,Мені подобається кататися на лижах,лыжи / горнолыжный спорт,Мне нравится кататься на лыжах,स्काइड / ski / skida,मुझे स्कीइंग पसंद है,স্কি / স্কিইং,আমি স্কি করতে ভালোবাসি,ski / skive,Më pëlqen të skijoj,kayak / kızak,Kayak yapmayı severim,ski / papan luncur,Saya suka bermain ski,ski / toboggan,Gusto kong mag-ski
Ingrid,Klassord,12th Nov,sked,Jag har en sked,spoon / spoonful,I have a spoon,cuchara / cucharilla,Yo tengo una cuchara,قاشق,من یک قاشق دارم,κουτάλι / spoonful,Έχω ένα κουτάλι,ложка / черпак / совкова,Я маю ложку,ложка / черпак,У меня есть ложка,चम्मच / स्पून,मेरे पास एक चम्मच है,চামচ / ladle / scoop,আমার একটা চামচ আছে।,lugë / lëvizës / send i thellë,Unë kam një lugë,table kaşığı / yemek kaşığı,Bir kaşığım var,sudu / senduk / cedok,Saya ada sudu,kutsara / sandok,Mayroon akong kutsara
Ingrid,Klassord,12th Nov,Då säger vi väl så.,Då säger vi väl så vi ses imorgon.,Then we'll say that / Then let's say so / That's what we'll do,Then I guess we say so / we'll see each other tomorrow.,De acuerdo / Conforme / Entendido,Entonces diremos que te veo mañana.,پس قبول / بسیار خوب,خب، پس می‌گیم فردا همدیگه رو می‌بینیم.,Λοιπόν / ας το πούμε έτσι. / Εντάξει / ας το κλείσουμε εδώ.,Λέμε λοιπόν ότι θα τα πούμε αύριο.,,Тоді скажімо / що до завтра.,Ну / тогда так тому и быть. / Ладно / договорились. / Ну / вот и все.,Тогда договорились / увидимся завтра.,ठीक है / अच्छा है,तो हम बस इतना कहेंगे कि कल मिलते हैं।,তাহলে তাই হোক। påstå / yttra,তাহলে কাল দেখা হবে।,Atëherë le të themi kështu / Pra / të biem dakord,Atëherë themi mirë / shihemi nesër.,Öyle diyelim / Anlaştık,O zaman yarın görüşürüz diyelim.,Baiklah / kita setuju.,Baiklah / kita jumpa esok.,Kung gayon / sasabihin na lang natin,Kung gayon / sasabihin nating magkita tayo bukas.
Ingrid,Klassord,12th Nov,sköter,Hon sköter vår trädgård perfekt,take care of / care for / take responsibility for,She takes perfect care of our garden,atiende / cuida / gestiona,Ella cuida nuestro jardín perfectamente.,اداره می‌کند / مدیریت می‌کند / مراقبت می‌کند,او کاملاً از باغ ما مراقبت می کند,διαχειρίζεται / φροντίζει,Φροντίζει τον κήπο μας τέλεια.,піклується / керує / доглядає,Вона чудово доглядає за нашим садом.,управляет / заведует / руководит,Она идеально ухаживает за нашим садом,देखभाल करता है / प्रबंधित करता है / संभालता है,वह हमारे बगीचे को पूरी तरह से संभालती है।,পরিচালনা করে / দেখাশোনা করে / যত্ন নেয়,তিনি আমাদের বাগান নিখুঁতভাবে যত্ন নেন।,kujdeset / menaxhon,Ajo kujdeset për kopshtin tonë në mënyrë perfekte,ilgilenir / bakar,Bahçemizle mükemmel ilgileniyor.,menguruskan / menjaga / mengendalikan,Dia menjaga taman kami dengan sempurna,Angkop na salin: nag-aalaga / pinamamahalaan,Siya ang nag-aasikaso ng aming halamanan nang perpekto.
Ingrid,Klassord,12th Nov,Det ska inte bli bättre väder idag heller.,Jag hoppas på bättre väder imorgon,The weather won't get any better today either. / The weather is not going to improve today either. / It's not going to be better weather today either.,I hope for better weather tomorrow,No hará mejor tiempo hoy tampoco. clima / atmósfera,Espero mejor tiempo mañana,,امیدوارم فردا هوا بهتر باشد,Δεν θα υπάρξει καλύτερος καιρός ούτε σήμερα / Ο καιρός δεν θα φτιάξει ούτε σήμερα.,Ελπίζω σε καλύτερο καιρό αύριο,погода; climate / atmospheric conditions,Я сподіваюся на кращу погоду завтра.,сегодня / настоящее время,Я надеюсь на лучшую погоду завтра,आज मौसम भी बेहतर नहीं होने वाला है। / आज मौसम बेहतर नहीं रहेगा। / आज मौसम बेहतर होने की संभावना नहीं है।,मुझे उम्मीद है कि कल मौसम बेहतर होगा,আবহাওয়া (Ābahā'ōẏā) / klimat / luftdrag,আমি আশা করি কালকের আবহাওয়া আরও ভালো হবে,Asnjë mot më i mirë nuk pritet as sot. / Edhe sot nuk do të ketë mot më të mirë.,Shpresoj për mot më të mirë nesër,Bugün hava daha iyi olmayacak.,Umarım yarın hava daha iyi olur,Cuaca tidak akan menjadi lebih baik hari ini juga.,Saya harap cuaca lebih baik esok,Hindi magiging mas maganda ang panahon ngayon / Araw-araw / Sa ngayon,Sana mas maganda ang panahon bukas
Ingrid,Klassord,12th Nov,Titta / du har vunnit på Lotto!,Jag hörde någon ropa Titta du har vunnit på Lotto idag.,Look / Behold / See,I heard someone shout Look you have won the lottery today.,¡Mira / has ganado la Lotería! / ¡mira / mira!,Escuché a alguien gritar Mira / has ganado la lotería hoy.,ببین، تو برنده لاتاری شدی! / بخت‌آزمایی,امروز شنیدم کسی فریاد می‌زد که نگاه کن، لاتاری برده‌ای.,Κοίτα / κέρδισες το Λόττο! / κερδίζω / νικώ,Άκουσα κάποιον να φωνάζει Κοίτα / κέρδισες στο Λόττο σήμερα.,Подивись / ти виграв у лотерею! / Little Russian / Ruthenian,,Смотри / ты выиграл в лото! / Поздравляю / ты выиграл в лото!,,देखो / आपने लॉटरी जीती है! / नज़र डालना / देखना,,দেখুন / আপনি লটারি জিতেছেন! (Dekhun / āpani laṭāri jitechen!) / শুভ (Shubho) / আনন্দ (Ānando),আমি শুনলাম কেউ চিৎকার করে বলছে যে দেখো / তুমি আজ লটারিতে জিতেছ।,Shiko / ke fituar lotarinë! / Ti ke fituar lotarinë!,Dëgjova dikë të thërrasë Shiko / ke fituar në Lotari sot.,Bak / piyangoyu kazandın! / Gördün mü / loto sende!,,Lihat / anda telah memenangi Lotto! / menang / berjaya,Saya terdengar seseorang menjerit Tengok awak menang Lotto hari ini.,Tingnan mo / nanalo ka sa Lotto! / Hayun / nanalo ka sa Lotto!,
Ingrid,Klassord,12th Nov,sjåpig,Han var sjåpig när han skulle hoppa.,overly sensitive / wuss / namby-pamby,He was squeamish when he was going to jump.,quisquilloso / melindroso / blando,Él estaba asustado cuando iba a saltar.,سخت‌گیر / دقیق / وسواسی,او وقتی می خواست بپرد، نازک نارنجی بود.,μελοδραματικός / ντροπαλός,Ήταν ντροπαλός όταν έπρεπε να πηδήξει.,примхливий / чутливий / вередливий,Він був метушливий / коли мав стрибати.,педантичный / манерный,Он был суетливым / когда собирался прыгнуть.,namby-pamby / wuss,जब वह कूदने वाला था तो वह नख़रेबाज़ था।,ভীতু / সংবেদনশীল,লাফ দিতে যাওয়ার সময় সে ভয় পাচ্ছিল।,budalla / i marrë,Ai ishte shumë i vështirë kur duhej të hidhej.,mızmız / sulugöz,Zıplayacağı zaman çok nazlanıyordu.,manja / mengada-ngada,Dia sombong apabila dia hendak melompat.,maselan / mapag-aksaya,Siya ay nerbiyoso noong siya ay tumatalon.
Ingrid,Klassord,12th Nov,skäl,Jag har goda skäl att tro det.,reason / cause / ground,I have good reason to believe that.,razón / causa,Tengo buenas razones para creerlo.,دلیل / علت,من دلایل خوبی برای باور آن دارم.,λόγος (logos) / αιτία (aitía),Έχω βάσιμους λόγους να το πιστεύω.,причина / reason / cause,Я маю вагомі підстави так вважати.,причина / повод / основание,У меня есть все основания полагать это.,वजह / कारण / बहाना,मेरे पास ऐसा मानने के अच्छे कारण हैं।,কারণ / যুক্তি / হেতু,আমার এটা বিশ্বাস করার ভালো কারণ আছে।,arsye / shkak,Kam arsye të mira për ta besuar atë.,neden / gerekçe,Buna inanmak için iyi nedenlerim var.,sebab / alasan / punca,Saya mempunyai alasan yang baik untuk mempercayainya.,dahilan / sanhi,Mayroon akong mabuting dahilan para paniwalaan iyon.
Ingrid,Klassord,12th Nov,skymning,Jag älskar att gå i skymning,dusk / twilight,I love walking in the twilight,crepúsculo / ocaso,Me encanta caminar al anochecer,غروب / twilight / gloaming,من عاشق قدم زدن در غروب هستم,Λυκόφως / σούρουπο,Λατρεύω να περπατάω στο σούρουπο,смерки / сутінки / присмерк,Я люблю гуляти в сутінках,сумерки / закат,Я люблю гулять в сумерках,गोधूलि / सांझ,मुझे गोधूलि में टहलना पसंद है,গোধূলি / সন্ধ্যা / সান্ধ্যবেলা,আমি গোধূলিতে হাঁটতে ভালোবাসি,muzg / vështrim i parë i dritës / errësirë,Më pëlqen të shëtis në muzg,alacakaranlık / akşam karanlığı,Alacakaranlıkta yürümeyi seviyorum,senja / dusk / nightfall,Saya suka berjalan pada waktu senja,takipsilim / dapit-hapon,Gusto kong maglakad sa dapit-hapon
Ingrid,Klassord,12th Nov,skjorta,Han har på sig en röd skjorta,shirt / blouse / sweater,He is wearing a red shirt,camisa / blusa / playera,Lleva una camisa roja,پیراهن / لباس رویی / تن‌پوش,او پیراهن قرمز پوشیده است,πουκάμισο / μπλούζα / φανέλα,Φοράει ένα κόκκινο πουκάμισο (Foráei éna kókkino poukámiso),сорочка / блуза / кошуля,Він одягнений у червону сорочку,рубашка / сорочка,На нём красная рубашка,कमीज़ / शर्ट / blouse,उसने लाल कमीज पहनी है,শার্ট / ব্লাউজ / টপ,তার গায়ে একটি লাল শার্ট আছে।,këmishë / bluzë,Ai ka veshur një këmishë të kuqe,gömlek / mintan,O kırmızı bir gömlek giyiyor.,kemeja / baju / blaus,Dia memakai baju merah,kamisa / damit,Naka-pulang kamiseta siya
